Date,County,Primary Area of Practice,Activities in Medicine,Count of Physicians
7/1/20,San Diego,Dermatology - Primary,No Response,1
7/1/20,San Diego,Dermatology - Primary,Patient Care - 1-9 Hours,14
7/1/20,San Diego,Dermatology - Primary,Patient Care - 10-19 Hours,16
7/1/20,San Diego,Dermatology - Primary,Patient Care - 20-29 Hours,34
7/1/20,San Diego,Dermatology - Primary,Patient Care - 30-39 Hours,74
7/1/20,San Diego,Dermatology - Primary,Patient Care - 40+ Hours,75
7/1/20,San Diego,Dermatology - Primary,Patient Care - None,18
7/1/20,San Diego,Emergency Medicine - Primary,No Response,1
7/1/20,San Diego,Emergency Medicine - Primary,Patient Care - 1-9 Hours,19
7/1/20,San Diego,Emergency Medicine - Primary,Patient Care - 10-19 Hours,41
7/1/20,San Diego,Emergency Medicine - Primary,Patient Care - 20-29 Hours,91
7/1/20,San Diego,Emergency Medicine - Primary,Patient Care - 30-39 Hours,165
7/1/20,San Diego,Emergency Medicine - Primary,Patient Care - 40+ Hours,243
7/1/20,San Diego,Emergency Medicine - Primary,Patient Care - None,30
7/1/20,San Diego,Endocrinology - Primary,No Response,2
7/1/20,San Diego,Endocrinology - Primary,Patient Care - 1-9 Hours,14
7/1/20,San Diego,Endocrinology - Primary,Patient Care - 10-19 Hours,5
7/1/20,San Diego,Endocrinology - Primary,Patient Care - 20-29 Hours,18
7/1/20,San Diego,Endocrinology - Primary,Patient Care - 30-39 Hours,22
7/1/20,San Diego,Endocrinology - Primary,Patient Care - 40+ Hours,21
7/1/20,San Diego,Endocrinology - Primary,Patient Care - None,13
7/1/20,San Diego,Family Medicine - Primary,No Response,3
7/1/20,San Diego,Family Medicine - Primary,Patient Care - 1-9 Hours,64
7/1/20,San Diego,Family Medicine - Primary,Patient Care - 10-19 Hours,82
7/1/20,San Diego,Family Medicine - Primary,Patient Care - 20-29 Hours,167
7/1/20,San Diego,Family Medicine - Primary,Patient Care - 30-39 Hours,315
7/1/20,San Diego,Family Medicine - Primary,Patient Care - 40+ Hours,347
7/1/20,San Diego,Family Medicine - Primary,Patient Care - None,68
7/1/20,San Diego,Gastroenterology - Primary,No Response,1
7/1/20,San Diego,Gastroenterology - Primary,Patient Care - 1-9 Hours,8
7/1/20,San Diego,Gastroenterology - Primary,Patient Care - 10-19 Hours,16
7/1/20,San Diego,Gastroenterology - Primary,Patient Care - 20-29 Hours,12
7/1/20,San Diego,Gastroenterology - Primary,Patient Care - 30-39 Hours,39
7/1/20,San Diego,Gastroenterology - Primary,Patient Care - 40+ Hours,96
7/1/20,San Diego,Gastroenterology - Primary,Patient Care - None,8
7/1/20,San Diego,General Practice - Primary,Patient Care - 1-9 Hours,28
7/1/20,San Diego,General Practice - Primary,Patient Care - 10-19 Hours,15
7/1/20,San Diego,General Practice - Primary,Patient Care - 20-29 Hours,33
7/1/20,San Diego,General Practice - Primary,Patient Care - 30-39 Hours,42
7/1/20,San Diego,General Practice - Primary,Patient Care - 40+ Hours,41
7/1/20,San Diego,General Practice - Primary,Patient Care - None,24
7/1/20,San Diego,General Surgery - Primary,No Response,2
7/1/20,San Diego,General Surgery - Primary,Patient Care - 1-9 Hours,8
7/1/20,San Diego,General Surgery - Primary,Patient Care - 10-19 Hours,6
7/1/20,San Diego,General Surgery - Primary,Patient Care - 20-29 Hours,14
7/1/20,San Diego,General Surgery - Primary,Patient Care - 30-39 Hours,25
7/1/20,San Diego,General Surgery - Primary,Patient Care - 40+ Hours,144
7/1/20,San Diego,General Surgery - Primary,Patient Care - None,21
7/1/20,San Diego,Infectious Disease - Primary,Patient Care - 1-9 Hours,14
7/1/20,San Diego,Infectious Disease - Primary,Patient Care - 10-19 Hours,20
7/1/20,San Diego,Infectious Disease - Primary,Patient Care - 20-29 Hours,17
7/1/20,San Diego,Infectious Disease - Primary,Patient Care - 30-39 Hours,12
7/1/20,San Diego,Infectious Disease - Primary,Patient Care - 40+ Hours,28
7/1/20,San Diego,Infectious Disease - Primary,Patient Care - None,9
7/1/20,San Diego,Internal Medicine - Primary,No Response,4
7/1/20,San Diego,Internal Medicine - Primary,Patient Care - 1-9 Hours,73
7/1/20,San Diego,Internal Medicine - Primary,Patient Care - 10-19 Hours,68
7/1/20,San Diego,Internal Medicine - Primary,Patient Care - 20-29 Hours,115
7/1/20,San Diego,Internal Medicine - Primary,Patient Care - 30-39 Hours,239
7/1/20,San Diego,Internal Medicine - Primary,Patient Care - 40+ Hours,671
7/1/20,San Diego,Internal Medicine - Primary,Patient Care - None,109
7/1/20,San Diego,Nephrology - Primary,Patient Care - 1-9 Hours,7
7/1/20,San Diego,Nephrology - Primary,Patient Care - 10-19 Hours,7
7/1/20,San Diego,Nephrology - Primary,Patient Care - 20-29 Hours,9
7/1/20,San Diego,Nephrology - Primary,Patient Care - 30-39 Hours,24
7/1/20,San Diego,Nephrology - Primary,Patient Care - 40+ Hours,54
7/1/20,San Diego,Nephrology - Primary,Patient Care - None,4
7/1/20,San Diego,Neurology - Primary,No Response,1
7/1/20,San Diego,Neurology - Primary,Patient Care - 1-9 Hours,9
7/1/20,San Diego,Neurology - Primary,Patient Care - 10-19 Hours,9
7/1/20,San Diego,Neurology - Primary,Patient Care - 20-29 Hours,20
7/1/20,San Diego,Neurology - Primary,Patient Care - 30-39 Hours,25
7/1/20,San Diego,Neurology - Primary,Patient Care - 40+ Hours,85
7/1/20,San Diego,Neurology - Primary,Patient Care - None,14
7/1/20,San Diego,No Response,No Response,727
7/1/20,San Diego,No Response,Patient Care - 1-9 Hours,133
7/1/20,San Diego,No Response,Patient Care - 10-19 Hours,130
7/1/20,San Diego,No Response,Patient Care - 20-29 Hours,197
7/1/20,San Diego,No Response,Patient Care - 30-39 Hours,369
7/1/20,San Diego,No Response,Patient Care - 40+ Hours,731
7/1/20,San Diego,No Response,Patient Care - None,254
7/1/20,San Diego,Obstetrics and Gynecology - Primary,No Response,1
7/1/20,San Diego,Obstetrics and Gynecology - Primary,Patient Care - 1-9 Hours,20
7/1/20,San Diego,Obstetrics and Gynecology - Primary,Patient Care - 10-19 Hours,22
7/1/20,San Diego,Obstetrics and Gynecology - Primary,Patient Care - 20-29 Hours,28
7/1/20,San Diego,Obstetrics and Gynecology - Primary,Patient Care - 30-39 Hours,84
7/1/20,San Diego,Obstetrics and Gynecology - Primary,Patient Care - 40+ Hours,268
7/1/20,San Diego,Obstetrics and Gynecology - Primary,Patient Care - None,51
7/1/20,San Diego,Oncology - Primary,Patient Care - 1-9 Hours,11
7/1/20,San Diego,Oncology - Primary,Patient Care - 10-19 Hours,17
7/1/20,San Diego,Oncology - Primary,Patient Care - 20-29 Hours,12
7/1/20,San Diego,Oncology - Primary,Patient Care - 30-39 Hours,23
7/1/20,San Diego,Oncology - Primary,Patient Care - 40+ Hours,63
7/1/20,San Diego,Oncology - Primary,Patient Care - None,19
7/1/20,San Diego,Ophthalmology - Primary,No Response,1
7/1/20,San Diego,Ophthalmology - Primary,Patient Care - 1-9 Hours,19
7/1/20,San Diego,Ophthalmology - Primary,Patient Care - 10-19 Hours,14
7/1/20,San Diego,Ophthalmology - Primary,Patient Care - 20-29 Hours,28
7/1/20,San Diego,Ophthalmology - Primary,Patient Care - 30-39 Hours,71
7/1/20,San Diego,Ophthalmology - Primary,Patient Care - 40+ Hours,106
7/1/20,San Diego,Ophthalmology - Primary,Patient Care - None,28
7/1/20,San Diego,Orthopedic Surgery - Primary,No Response,1
7/1/20,San Diego,Orthopedic Surgery - Primary,Patient Care - 1-9 Hours,10
7/1/20,San Diego,Orthopedic Surgery - Primary,Patient Care - 10-19 Hours,9
7/1/20,San Diego,Orthopedic Surgery - Primary,Patient Care - 20-29 Hours,17
7/1/20,San Diego,Orthopedic Surgery - Primary,Patient Care - 30-39 Hours,49
7/1/20,San Diego,Orthopedic Surgery - Primary,Patient Care - 40+ Hours,184
7/1/20,San Diego,Orthopedic Surgery - Primary,Patient Care - None,30
7/1/20,San Diego,Otolaryngology - Primary,Patient Care - 1-9 Hours,6
7/1/20,San Diego,Otolaryngology - Primary,Patient Care - 10-19 Hours,3
7/1/20,San Diego,Otolaryngology - Primary,Patient Care - 20-29 Hours,12
7/1/20,San Diego,Otolaryngology - Primary,Patient Care - 30-39 Hours,29
7/1/20,San Diego,Otolaryngology - Primary,Patient Care - 40+ Hours,72
7/1/20,San Diego,Otolaryngology - Primary,Patient Care - None,10
7/1/20,San Diego,Pathology - Primary,No Response,2
7/1/20,San Diego,Pathology - Primary,Patient Care - 1-9 Hours,17
7/1/20,San Diego,Pathology - Primary,Patient Care - 10-19 Hours,12
7/1/20,San Diego,Pathology - Primary,Patient Care - 20-29 Hours,22
7/1/20,San Diego,Pathology - Primary,Patient Care - 30-39 Hours,49
7/1/20,San Diego,Pathology - Primary,Patient Care - 40+ Hours,77
7/1/20,San Diego,Pathology - Primary,Patient Care - None,46
7/1/20,San Diego,Pediatrics - Primary,No Response,2
7/1/20,San Diego,Pediatrics - Primary,Patient Care - 1-9 Hours,45
7/1/20,San Diego,Pediatrics - Primary,Patient Care - 10-19 Hours,48
7/1/20,San Diego,Pediatrics - Primary,Patient Care - 20-29 Hours,151
7/1/20,San Diego,Pediatrics - Primary,Patient Care - 30-39 Hours,228
7/1/20,San Diego,Pediatrics - Primary,Patient Care - 40+ Hours,220
7/1/20,San Diego,Pediatrics - Primary,Patient Care - None,77
7/1/20,San Diego,Physical Medicine and Rehabilitation - Primary,Patient Care - 1-9 Hours,3
7/1/20,San Diego,Physical Medicine and Rehabilitation - Primary,Patient Care - 10-19 Hours,8
7/1/20,San Diego,Physical Medicine and Rehabilitation - Primary,Patient Care - 20-29 Hours,4
7/1/20,San Diego,Physical Medicine and Rehabilitation - Primary,Patient Care - 30-39 Hours,20
7/1/20,San Diego,Physical Medicine and Rehabilitation - Primary,Patient Care - 40+ Hours,31
7/1/20,San Diego,Physical Medicine and Rehabilitation - Primary,Patient Care - None,4
7/1/20,San Diego,Plastic Surgery - Primary,Patient Care - 1-9 Hours,4
7/1/20,San Diego,Plastic Surgery - Primary,Patient Care - 10-19 Hours,4
7/1/20,San Diego,Plastic Surgery - Primary,Patient Care - 20-29 Hours,11
7/1/20,San Diego,Plastic Surgery - Primary,Patient Care - 30-39 Hours,19
7/1/20,San Diego,Plastic Surgery - Primary,Patient Care - 40+ Hours,53
7/1/20,San Diego,Plastic Surgery - Primary,Patient Care - None,11
7/1/20,San Diego,Psychiatry - Primary,No Response,4
7/1/20,San Diego,Psychiatry - Primary,Patient Care - 1-9 Hours,53
7/1/20,San Diego,Psychiatry - Primary,Patient Care - 10-19 Hours,82
7/1/20,San Diego,Psychiatry - Primary,Patient Care - 20-29 Hours,124
7/1/20,San Diego,Psychiatry - Primary,Patient Care - 30-39 Hours,179
7/1/20,San Diego,Psychiatry - Primary,Patient Care - 40+ Hours,192
7/1/20,San Diego,Psychiatry - Primary,Patient Care - None,69
7/1/20,San Diego,Pulmonary - Primary,Patient Care - 1-9 Hours,3
7/1/20,San Diego,Pulmonary - Primary,Patient Care - 10-19 Hours,11
7/1/20,San Diego,Pulmonary - Primary,Patient Care - 20-29 Hours,14
7/1/20,San Diego,Pulmonary - Primary,Patient Care - 30-39 Hours,17
7/1/20,San Diego,Pulmonary - Primary,Patient Care - 40+ Hours,65
7/1/20,San Diego,Pulmonary - Primary,Patient Care - None,13
7/1/20,San Diego,Radiology - Primary,No Response,6
7/1/20,San Diego,Radiology - Primary,Patient Care - 1-9 Hours,19
7/1/20,San Diego,Radiology - Primary,Patient Care - 10-19 Hours,24
7/1/20,San Diego,Radiology - Primary,Patient Care - 20-29 Hours,31
7/1/20,San Diego,Radiology - Primary,Patient Care - 30-39 Hours,93
7/1/20,San Diego,Radiology - Primary,Patient Care - 40+ Hours,239
7/1/20,San Diego,Radiology - Primary,Patient Care - None,72
7/1/20,San Diego,Urology - Primary,Patient Care - 1-9 Hours,2
7/1/20,San Diego,Urology - Primary,Patient Care - 10-19 Hours,7
7/1/20,San Diego,Urology - Primary,Patient Care - 20-29 Hours,7
7/1/20,San Diego,Urology - Primary,Patient Care - 30-39 Hours,22
7/1/20,San Diego,Urology - Primary,Patient Care - 40+ Hours,65
7/1/20,San Diego,Urology - Primary,Patient Care - None,19
7/1/20,San Francisco,All Other Specialties,No Response,6
7/1/20,San Francisco,All Other Specialties,Patient Care - 1-9 Hours,83
7/1/20,San Francisco,All Other Specialties,Patient Care - 10-19 Hours,97
7/1/20,San Francisco,All Other Specialties,Patient Care - 20-29 Hours,129
7/1/20,San Francisco,All Other Specialties,Patient Care - 30-39 Hours,142
7/1/20,San Francisco,All Other Specialties,Patient Care - 40+ Hours,238
7/1/20,San Francisco,All Other Specialties,Patient Care - None,72
7/1/20,San Francisco,Anesthesiology - Primary,No Response,3
7/1/20,San Francisco,Anesthesiology - Primary,Patient Care - 1-9 Hours,11
7/1/20,San Francisco,Anesthesiology - Primary,Patient Care - 10-19 Hours,18
7/1/20,San Francisco,Anesthesiology - Primary,Patient Care - 20-29 Hours,29
7/1/20,San Francisco,Anesthesiology - Primary,Patient Care - 30-39 Hours,48
7/1/20,San Francisco,Anesthesiology - Primary,Patient Care - 40+ Hours,172
7/1/20,San Francisco,Anesthesiology - Primary,Patient Care - None,17
7/1/20,San Francisco,Cardiology - Primary,No Response,2
7/1/20,San Francisco,Cardiology - Primary,Patient Care - 1-9 Hours,9
7/1/20,San Francisco,Cardiology - Primary,Patient Care - 10-19 Hours,17
7/1/20,San Francisco,Cardiology - Primary,Patient Care - 20-29 Hours,20
7/1/20,San Francisco,Cardiology - Primary,Patient Care - 30-39 Hours,34
7/1/20,San Francisco,Cardiology - Primary,Patient Care - 40+ Hours,87
7/1/20,San Francisco,Cardiology - Primary,Patient Care - None,10
7/1/20,San Francisco,Dermatology - Primary,Patient Care - 1-9 Hours,20
7/1/20,San Francisco,Dermatology - Primary,Patient Care - 10-19 Hours,25
7/1/20,San Francisco,Dermatology - Primary,Patient Care - 20-29 Hours,19
7/1/20,San Francisco,Dermatology - Primary,Patient Care - 30-39 Hours,28
7/1/20,San Francisco,Dermatology - Primary,Patient Care - 40+ Hours,26
7/1/20,San Francisco,Dermatology - Primary,Patient Care - None,9
7/1/20,San Francisco,Emergency Medicine - Primary,No Response,3
7/1/20,San Francisco,Emergency Medicine - Primary,Patient Care - 1-9 Hours,11
7/1/20,San Francisco,Emergency Medicine - Primary,Patient Care - 10-19 Hours,24
7/1/20,San Francisco,Emergency Medicine - Primary,Patient Care - 20-29 Hours,60
7/1/20,San Francisco,Emergency Medicine - Primary,Patient Care - 30-39 Hours,61
7/1/20,San Francisco,Emergency Medicine - Primary,Patient Care - 40+ Hours,68
7/1/20,San Francisco,Emergency Medicine - Primary,Patient Care - None,10
7/1/20,San Francisco,Endocrinology - Primary,Patient Care - 1-9 Hours,14
7/1/20,San Francisco,Endocrinology - Primary,Patient Care - 10-19 Hours,18
7/1/20,San Francisco,Endocrinology - Primary,Patient Care - 20-29 Hours,9
7/1/20,San Francisco,Endocrinology - Primary,Patient Care - 30-39 Hours,10
7/1/20,San Francisco,Endocrinology - Primary,Patient Care - 40+ Hours,16
7/1/20,San Francisco,Endocrinology - Primary,Patient Care - None,2
7/1/20,San Francisco,Family Medicine - Primary,No Response,8
7/1/20,San Francisco,Family Medicine - Primary,Patient Care - 1-9 Hours,29
7/1/20,San Francisco,Family Medicine - Primary,Patient Care - 10-19 Hours,39
7/1/20,San Francisco,Family Medicine - Primary,Patient Care - 20-29 Hours,72
7/1/20,San Francisco,Family Medicine - Primary,Patient Care - 30-39 Hours,89
7/1/20,San Francisco,Family Medicine - Primary,Patient Care - 40+ Hours,58
7/1/20,San Francisco,Family Medicine - Primary,Patient Care - None,27
7/1/20,San Francisco,Gastroenterology - Primary,Patient Care - 1-9 Hours,9
7/1/20,San Francisco,Gastroenterology - Primary,Patient Care - 10-19 Hours,8
7/1/20,San Francisco,Gastroenterology - Primary,Patient Care - 20-29 Hours,16
7/1/20,San Francisco,Gastroenterology - Primary,Patient Care - 30-39 Hours,29
7/1/20,San Francisco,Gastroenterology - Primary,Patient Care - 40+ Hours,45
7/1/20,San Francisco,Gastroenterology - Primary,Patient Care - None,6
7/1/20,San Francisco,General Practice - Primary,Patient Care - 1-9 Hours,16
7/1/20,San Francisco,General Practice - Primary,Patient Care - 10-19 Hours,11
7/1/20,San Francisco,General Practice - Primary,Patient Care - 20-29 Hours,9
7/1/20,San Francisco,General Practice - Primary,Patient Care - 30-39 Hours,2
7/1/20,San Francisco,General Practice - Primary,Patient Care - 40+ Hours,13
7/1/20,San Francisco,General Practice - Primary,Patient Care - None,4
7/1/20,San Francisco,General Surgery - Primary,Patient Care - 1-9 Hours,4
7/1/20,San Francisco,General Surgery - Primary,Patient Care - 10-19 Hours,6
7/1/20,San Francisco,General Surgery - Primary,Patient Care - 20-29 Hours,6
7/1/20,San Francisco,General Surgery - Primary,Patient Care - 30-39 Hours,10
7/1/20,San Francisco,General Surgery - Primary,Patient Care - 40+ Hours,62
7/1/20,San Francisco,General Surgery - Primary,Patient Care - None,5
7/1/20,San Francisco,Infectious Disease - Primary,No Response,1
7/1/20,San Francisco,Infectious Disease - Primary,Patient Care - 1-9 Hours,37
7/1/20,San Francisco,Infectious Disease - Primary,Patient Care - 10-19 Hours,27
7/1/20,San Francisco,Infectious Disease - Primary,Patient Care - 20-29 Hours,13
7/1/20,San Francisco,Infectious Disease - Primary,Patient Care - 30-39 Hours,5
7/1/20,San Francisco,Infectious Disease - Primary,Patient Care - 40+ Hours,12
7/1/20,San Francisco,Infectious Disease - Primary,Patient Care - None,12
7/1/20,San Francisco,Internal Medicine - Primary,No Response,6
7/1/20,San Francisco,Internal Medicine - Primary,Patient Care - 1-9 Hours,124
7/1/20,San Francisco,Internal Medicine - Primary,Patient Care - 10-19 Hours,105
7/1/20,San Francisco,Internal Medicine - Primary,Patient Care - 20-29 Hours,145
7/1/20,San Francisco,Internal Medicine - Primary,Patient Care - 30-39 Hours,201
7/1/20,San Francisco,Internal Medicine - Primary,Patient Care - 40+ Hours,314
7/1/20,San Francisco,Internal Medicine - Primary,Patient Care - None,75
7/1/20,San Francisco,Nephrology - Primary,Patient Care - 1-9 Hours,9
7/1/20,San Francisco,Nephrology - Primary,Patient Care - 10-19 Hours,7
7/1/20,San Francisco,Nephrology - Primary,Patient Care - 20-29 Hours,9
7/1/20,San Francisco,Nephrology - Primary,Patient Care - 30-39 Hours,11
7/1/20,San Francisco,Nephrology - Primary,Patient Care - 40+ Hours,29
7/1/20,San Francisco,Nephrology - Primary,Patient Care - None,2
7/1/20,San Francisco,Neurology - Primary,No Response,1
7/1/20,San Francisco,Neurology - Primary,Patient Care - 1-9 Hours,29
7/1/20,San Francisco,Neurology - Primary,Patient Care - 10-19 Hours,23
7/1/20,San Francisco,Neurology - Primary,Patient Care - 20-29 Hours,34
7/1/20,San Francisco,Neurology - Primary,Patient Care - 30-39 Hours,33
7/1/20,San Francisco,Neurology - Primary,Patient Care - 40+ Hours,48
7/1/20,San Francisco,Neurology - Primary,Patient Care - None,7
7/1/20,San Francisco,No Response,No Response,543
7/1/20,San Francisco,No Response,Patient Care - 1-9 Hours,93
7/1/20,San Francisco,No Response,Patient Care - 10-19 Hours,106
7/1/20,San Francisco,No Response,Patient Care - 20-29 Hours,124
7/1/20,San Francisco,No Response,Patient Care - 30-39 Hours,204
7/1/20,San Francisco,No Response,Patient Care - 40+ Hours,313
7/1/20,San Francisco,No Response,Patient Care - None,98
7/1/20,San Francisco,Obstetrics and Gynecology - Primary,No Response,2
7/1/20,San Francisco,Obstetrics and Gynecology - Primary,Patient Care - 1-9 Hours,9
7/1/20,San Francisco,Obstetrics and Gynecology - Primary,Patient Care - 10-19 Hours,17
7/1/20,San Francisco,Obstetrics and Gynecology - Primary,Patient Care - 20-29 Hours,41
7/1/20,San Francisco,Obstetrics and Gynecology - Primary,Patient Care - 30-39 Hours,42
7/1/20,San Francisco,Obstetrics and Gynecology - Primary,Patient Care - 40+ Hours,109
7/1/20,San Francisco,Obstetrics and Gynecology - Primary,Patient Care - None,14
7/1/20,San Francisco,Oncology - Primary,No Response,2
7/1/20,San Francisco,Oncology - Primary,Patient Care - 1-9 Hours,14
7/1/20,San Francisco,Oncology - Primary,Patient Care - 10-19 Hours,22
7/1/20,San Francisco,Oncology - Primary,Patient Care - 20-29 Hours,30
7/1/20,San Francisco,Oncology - Primary,Patient Care - 30-39 Hours,12
7/1/20,San Francisco,Oncology - Primary,Patient Care - 40+ Hours,19
7/1/20,San Francisco,Oncology - Primary,Patient Care - None,16
7/1/20,San Francisco,Ophthalmology - Primary,Patient Care - 1-9 Hours,12
7/1/20,San Francisco,Ophthalmology - Primary,Patient Care - 10-19 Hours,10
7/1/20,San Francisco,Ophthalmology - Primary,Patient Care - 20-29 Hours,25
7/1/20,San Francisco,Ophthalmology - Primary,Patient Care - 30-39 Hours,25
7/1/20,San Francisco,Ophthalmology - Primary,Patient Care - 40+ Hours,50
7/1/20,San Francisco,Ophthalmology - Primary,Patient Care - None,10
7/1/20,San Francisco,Orthopedic Surgery - Primary,Patient Care - 1-9 Hours,1
7/1/20,San Francisco,Orthopedic Surgery - Primary,Patient Care - 10-19 Hours,8
7/1/20,San Francisco,Orthopedic Surgery - Primary,Patient Care - 20-29 Hours,10
7/1/20,San Francisco,Orthopedic Surgery - Primary,Patient Care - 30-39 Hours,32
7/1/20,San Francisco,Orthopedic Surgery - Primary,Patient Care - 40+ Hours,78
7/1/20,San Francisco,Orthopedic Surgery - Primary,Patient Care - None,4
7/1/20,San Francisco,Otolaryngology - Primary,Patient Care - 1-9 Hours,2
7/1/20,San Francisco,Otolaryngology - Primary,Patient Care - 10-19 Hours,3
7/1/20,San Francisco,Otolaryngology - Primary,Patient Care - 20-29 Hours,7
7/1/20,San Francisco,Otolaryngology - Primary,Patient Care - 30-39 Hours,18
7/1/20,San Francisco,Otolaryngology - Primary,Patient Care - 40+ Hours,38
7/1/20,San Francisco,Otolaryngology - Primary,Patient Care - None,3
7/1/20,San Francisco,Pathology - Primary,No Response,3
7/1/20,San Francisco,Pathology - Primary,Patient Care - 1-9 Hours,23
7/1/20,San Francisco,Pathology - Primary,Patient Care - 10-19 Hours,19
7/1/20,San Francisco,Pathology - Primary,Patient Care - 20-29 Hours,18
7/1/20,San Francisco,Pathology - Primary,Patient Care - 30-39 Hours,36
7/1/20,San Francisco,Pathology - Primary,Patient Care - 40+ Hours,42
7/1/20,San Francisco,Pathology - Primary,Patient Care - None,15
7/1/20,San Francisco,Pediatrics - Primary,No Response,2
7/1/20,San Francisco,Pediatrics - Primary,Patient Care - 1-9 Hours,48
7/1/20,San Francisco,Pediatrics - Primary,Patient Care - 10-19 Hours,78
7/1/20,San Francisco,Pediatrics - Primary,Patient Care - 20-29 Hours,92
7/1/20,San Francisco,Pediatrics - Primary,Patient Care - 30-39 Hours,93
7/1/20,San Francisco,Pediatrics - Primary,Patient Care - 40+ Hours,111
7/1/20,San Francisco,Pediatrics - Primary,Patient Care - None,34
7/1/20,San Francisco,Physical Medicine and Rehabilitation - Primary,No Response,1
7/1/20,San Francisco,Physical Medicine and Rehabilitation - Primary,Patient Care - 1-9 Hours,1
7/1/20,San Francisco,Physical Medicine and Rehabilitation - Primary,Patient Care - 10-19 Hours,3
7/1/20,San Francisco,Physical Medicine and Rehabilitation - Primary,Patient Care - 20-29 Hours,8
7/1/20,San Francisco,Physical Medicine and Rehabilitation - Primary,Patient Care - 30-39 Hours,9
7/1/20,San Francisco,Physical Medicine and Rehabilitation - Primary,Patient Care - 40+ Hours,15
7/1/20,San Francisco,Physical Medicine and Rehabilitation - Primary,Patient Care - None,3
7/1/20,San Francisco,Plastic Surgery - Primary,Patient Care - 20-29 Hours,3
7/1/20,San Francisco,Plastic Surgery - Primary,Patient Care - 30-39 Hours,13
7/1/20,San Francisco,Plastic Surgery - Primary,Patient Care - 40+ Hours,61
7/1/20,San Francisco,Plastic Surgery - Primary,Patient Care - None,5
7/1/20,San Francisco,Psychiatry - Primary,No Response,1
7/1/20,San Francisco,Psychiatry - Primary,Patient Care - 1-9 Hours,46
7/1/20,San Francisco,Psychiatry - Primary,Patient Care - 10-19 Hours,77
7/1/20,San Francisco,Psychiatry - Primary,Patient Care - 20-29 Hours,137
7/1/20,San Francisco,Psychiatry - Primary,Patient Care - 30-39 Hours,154
7/1/20,San Francisco,Psychiatry - Primary,Patient Care - 40+ Hours,97
7/1/20,San Francisco,Psychiatry - Primary,Patient Care - None,26
7/1/20,San Francisco,Pulmonary - Primary,Patient Care - 1-9 Hours,8
7/1/20,San Francisco,Pulmonary - Primary,Patient Care - 10-19 Hours,19
7/1/20,San Francisco,Pulmonary - Primary,Patient Care - 20-29 Hours,15
7/1/20,San Francisco,Pulmonary - Primary,Patient Care - 30-39 Hours,5
7/1/20,San Francisco,Pulmonary - Primary,Patient Care - 40+ Hours,26
7/1/20,San Francisco,Pulmonary - Primary,Patient Care - None,9
7/1/20,San Francisco,Radiology - Primary,No Response,2
7/1/20,San Francisco,Radiology - Primary,Patient Care - 1-9 Hours,8
7/1/20,San Francisco,Radiology - Primary,Patient Care - 10-19 Hours,14
7/1/20,San Francisco,Radiology - Primary,Patient Care - 20-29 Hours,21
7/1/20,San Francisco,Radiology - Primary,Patient Care - 30-39 Hours,46
7/1/20,San Francisco,Radiology - Primary,Patient Care - 40+ Hours,113
7/1/20,San Francisco,Radiology - Primary,Patient Care - None,18
7/1/20,San Francisco,Urology - Primary,No Response,1
7/1/20,San Francisco,Urology - Primary,Patient Care - 1-9 Hours,6
7/1/20,San Francisco,Urology - Primary,Patient Care - 20-29 Hours,3
7/1/20,San Francisco,Urology - Primary,Patient Care - 30-39 Hours,10
7/1/20,San Francisco,Urology - Primary,Patient Care - 40+ Hours,36
7/1/20,San Joaquin,All Other Specialties,No Response,1
7/1/20,San Joaquin,All Other Specialties,Patient Care - 1-9 Hours,3
7/1/20,San Joaquin,All Other Specialties,Patient Care - 10-19 Hours,5
7/1/20,San Joaquin,All Other Specialties,Patient Care - 20-29 Hours,2
7/1/20,San Joaquin,All Other Specialties,Patient Care - 30-39 Hours,14
7/1/20,San Joaquin,All Other Specialties,Patient Care - 40+ Hours,51
7/1/20,San Joaquin,All Other Specialties,Patient Care - None,9
7/1/20,San Joaquin,Anesthesiology - Primary,Patient Care - 1-9 Hours,1
7/1/20,San Joaquin,Anesthesiology - Primary,Patient Care - 10-19 Hours,1
7/1/20,San Joaquin,Anesthesiology - Primary,Patient Care - 20-29 Hours,3
7/1/20,San Joaquin,Anesthesiology - Primary,Patient Care - 30-39 Hours,2
7/1/20,San Joaquin,Anesthesiology - Primary,Patient Care - 40+ Hours,40
7/1/20,San Joaquin,Anesthesiology - Primary,Patient Care - None,3
7/1/20,San Joaquin,Cardiology - Primary,Patient Care - 1-9 Hours,2
7/1/20,San Joaquin,Cardiology - Primary,Patient Care - 20-29 Hours,2
7/1/20,San Joaquin,Cardiology - Primary,Patient Care - 30-39 Hours,1
7/1/20,San Joaquin,Cardiology - Primary,Patient Care - 40+ Hours,33
7/1/20,San Joaquin,Dermatology - Primary,Patient Care - 10-19 Hours,1
7/1/20,San Joaquin,Dermatology - Primary,Patient Care - 20-29 Hours,1
7/1/20,San Joaquin,Dermatology - Primary,Patient Care - 30-39 Hours,6
7/1/20,San Joaquin,Dermatology - Primary,Patient Care - 40+ Hours,6
7/1/20,San Joaquin,Dermatology - Primary,Patient Care - None,1
7/1/20,San Joaquin,Emergency Medicine - Primary,Patient Care - 1-9 Hours,1
7/1/20,San Joaquin,Emergency Medicine - Primary,Patient Care - 10-19 Hours,1
7/1/20,San Joaquin,Emergency Medicine - Primary,Patient Care - 20-29 Hours,5
